2014-02-04T14:06:02 - SignalSource confirmed new parameters ...
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 10.8985 8.51266.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 12.0193 8.46677.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 13.7271 8.5742.
2014-02-04T14:06:16 - Warning: CursorFeedbackTask::Process: process: 13.2568 11.8998.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 17.4853 10.2819.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 18.6188 8.24504.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 22.8661 7.37402.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 21.8857 6.97677.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 19.1145 12.2791.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 18.6289 11.0559.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 17.6243 10.1385.
2014-02-04T14:06:17 - Warning: CursorFeedbackTask::Process: process: 14.9569 10.4219.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 13.1866 8.76635.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 15.0529 11.9773.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 15.9353 12.735.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 17.9901 13.7445.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 17.4678 15.247.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 14.7036 13.7385.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 15.1565 12.4652.
2014-02-04T14:06:18 - Warning: CursorFeedbackTask::Process: process: 11.7299 9.97822.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 11.346 11.7688.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 17.6038 11.7049.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 21.2216 11.5282.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 22.2492 11.7333.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 24.8214 11.0707.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 15.7901 14.7674.
2014-02-04T14:06:19 - Operation suspended
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 12.7857 12.8475.
2014-02-04T14:06:19 - Warning: CursorFeedbackTask::Process: process: 14.3039 14.1569.
