2014-02-04T13:46:42 - SignalProcessing confirmed new parameters ...
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 108.184 123.262.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 125.949 130.97.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 126.348 123.475.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 120.034 119.652.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 123.636 115.778.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 128.836 106.229.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 120.731 89.5235.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 119.537 87.1934.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 127.955 99.8384.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 140.929 100.481.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 136.826 92.6981.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 141.176 92.6703.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 140.962 88.0129.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 159.085 96.4079.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 142.264 84.9846.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 143.684 87.2592.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 137.278 85.9001.
2014-02-04T13:46:52 - Warning: CursorFeedbackTask::Process: process: 138.729 88.8343.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 136.392 85.4725.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 132.468 84.0839.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 130.603 85.7548.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 127.743 84.2158.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 134.805 90.0497.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 118.593 77.472.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 108.751 72.9852.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 114.262 77.7327.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 114.618 79.8766.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 108.041 77.8293.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 93.0751 64.7929.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 100.392 71.8824.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 100.373 70.7507.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 89.852 62.2357.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 88.874 60.726.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 89.3036 65.0299.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 92.0674 68.5301.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 94.3257 66.9961.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 88.8489 64.0436.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 84.0045 59.9128.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 80.7194 65.0188.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 76.9862 67.7929.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 82.0408 65.7434.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 78.8706 61.9106.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 82.868 73.5861.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 79.7244 69.82.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 80.8416 66.5624.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 80.6061 68.9178.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 91.7991 81.932.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 104.351 94.4994.
2014-02-04T13:46:53 - Warning: CursorFeedbackTask::Process: process: 108.635 90.6535.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 104.908 88.1529.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 102.215 87.642.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 105.8 91.0691.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 111.107 100.562.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 116.49 96.3016.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 123.29 106.161.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 118.001 108.111.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 117.598 107.448.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 112.882 99.688.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 109.235 98.8512.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 106.209 98.767.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 105.844 95.0797.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 106.501 88.4004.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 104.765 84.87.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 101.707 86.2226.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 105.806 84.1308.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 106.583 88.9235.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 106.355 91.133.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 108.763 82.4494.
2014-02-04T13:46:54 - Warning: CursorFeedbackTask::Process: process: 120.646 90.1194.
