2014-02-04T13:08:53 - BCI2000 Started
2014-02-04T13:08:54 - Waiting for configuration ...
2014-02-04T13:09:28 - Warning: CursorFeedbackTask::Process: process: 309.782 13.4537.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 266.169 14.624.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 307.269 17.294.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 288.122 18.8442.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 287.431 17.0709.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 309.514 17.9482.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 307.283 16.0537.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 293.599 16.1491.
2014-02-04T13:09:29 - Warning: CursorFeedbackTask::Process: process: 292.71 13.5018.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 205.621 12.8712.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 314.053 15.5915.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 209.211 13.9195.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 506.082 14.3439.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 225.204 11.7413.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 1357.04 15.0375.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 213.549 12.8064.
2014-02-04T13:09:30 - Warning: CursorFeedbackTask::Process: process: 248.143 16.7794.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 179.751 12.7654.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 332.107 15.1862.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 183.829 12.0977.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 247.586 13.331.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 234.33 15.38.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 293.014 14.8248.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 222.851 14.6183.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 277.697 15.8781.
2014-02-04T13:09:31 - Warning: CursorFeedbackTask::Process: process: 221.168 13.8141.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 318.29 15.4792.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 278.324 15.8139.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 269.001 14.7964.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 280.113 16.5125.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 297.993 15.2397.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 233.017 13.4388.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 362.873 12.4562.
2014-02-04T13:09:32 - Warning: CursorFeedbackTask::Process: process: 201.809 10.9597.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 2325.01 9.64173.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 187.884 10.505.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 958.136 10.6632.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 214.638 13.5893.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 434.983 13.5753.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 232.505 12.0792.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 478.873 12.8513.
2014-02-04T13:09:33 - Warning: CursorFeedbackTask::Process: process: 257.869 15.8044.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 700.369 14.4987.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 261.958 16.1742.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 249.2 12.0223.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 195.753 12.7337.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 210.008 13.1237.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 186.035 12.6132.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 398.884 13.1055.
2014-02-04T13:09:34 - Warning: CursorFeedbackTask::Process: process: 187.468 11.9456.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 793.851 13.2579.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 184.677 11.1612.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 220.832 9.15995.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 187.401 11.1075.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 347.991 10.3782.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 186.147 10.9717.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 248.904 13.1197.
2014-02-04T13:09:35 - Warning: CursorFeedbackTask::Process: process: 244.426 16.2186.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 390.268 17.4142.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 299.025 18.2026.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 1890.59 14.4736.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 214.306 13.1785.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 243.698 13.1691.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 194.262 12.1975.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 173.622 10.4294.
2014-02-04T13:09:36 - Warning: CursorFeedbackTask::Process: process: 201.391 12.4939.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 275.353 14.3512.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 281.463 17.5354.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 281.54 15.8988.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 224.43 13.3255.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 209.941 10.504.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 235.864 13.8853.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 282.213 15.1007.
2014-02-04T13:09:37 - Warning: CursorFeedbackTask::Process: process: 280.309 13.0587.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 255.582 13.8213.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 223.517 12.3064.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 183.131 10.7031.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 181.31 12.1573.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 588.757 12.6856.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 214.905 14.8023.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 283.745 14.8454.
2014-02-04T13:09:38 - Warning: CursorFeedbackTask::Process: process: 219.043 12.9707.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 217.145 11.7809.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 214.497 12.0481.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 346.736 11.9798.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 226.666 11.6504.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 174.624 10.5091.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 193.405 11.4757.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 406.361 13.4841.
2014-02-04T13:09:39 - Warning: CursorFeedbackTask::Process: process: 170.831 10.4077.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 186.082 10.1083.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 168.204 10.1811.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 180.744 10.4122.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 215.156 13.0524.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 1381.48 14.5796.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 249.079 13.0988.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 1136.25 18.3865.
2014-02-04T13:09:40 - Warning: CursorFeedbackTask::Process: process: 242.898 14.4604.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 319.54 14.9167.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 273.677 14.8464.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 242.795 11.2479.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 211.525 12.9736.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 202.168 12.123.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 185.536 12.4264.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 406.139 12.1573.
2014-02-04T13:09:41 - Warning: CursorFeedbackTask::Process: process: 220.967 14.6729.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 573.152 12.9966.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 206.442 12.4396.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 329.647 15.7947.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 202.428 13.1548.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 273.067 12.9548.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 212.297 13.3408.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 235.346 13.0916.
2014-02-04T13:09:42 - Warning: CursorFeedbackTask::Process: process: 232.439 13.8954.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 458.734 14.6403.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 221.493 11.6996.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 195.875 11.1439.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 178.507 9.83112.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 821.839 9.69439.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 220.961 11.2639.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 233.675 12.9088.
2014-02-04T13:09:43 - Warning: CursorFeedbackTask::Process: process: 208.636 12.4306.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 958.734 10.2188.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 177.302 10.8132.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 207.083 7.11295.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 144.916 9.40528.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 173.609 10.704.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 212.02 12.4302.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 246.081 13.524.
2014-02-04T13:09:44 - Warning: CursorFeedbackTask::Process: process: 198.297 11.6181.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 346.424 11.0006.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 188.39 10.6429.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 556.26 9.7039.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 213.931 11.2283.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 1106.86 16.575.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 254.817 14.8423.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 547.129 13.48.
2014-02-04T13:09:45 - Warning: CursorFeedbackTask::Process: process: 245.369 15.7719.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 1013.31 17.9469.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 213.084 13.0953.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 242.118 13.8515.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 241.014 12.7728.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 239.615 13.0879.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 213.082 12.8288.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 1775.22 12.4485.
2014-02-04T13:09:46 - Warning: CursorFeedbackTask::Process: process: 279.872 16.273.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 240.366 14.619.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 262.151 16.7578.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 309.589 12.9097.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 219.681 12.6906.
