X,CH1,CH2,
Second,Volt,Volt,
-3.81000e-01,-1.56e-01,-7.99e-02,
-3.80900e-01,-1.44e-01,-7.99e-02,
-3.80800e-01,-1.56e-01,-7.99e-02,
-3.80700e-01,-1.32e-01,-7.99e-02,
-3.80600e-01,-1.52e-01,-6.00e-02,
-3.80500e-01,-1.32e-01,-7.99e-02,
-3.80400e-01,-1.52e-01,-2.00e-02,
-3.80300e-01,-1.36e-01,-2.00e-02,
-3.80200e-01,-1.48e-01,-2.00e-02,
-3.80100e-01,-1.32e-01,0.00e+00,
-3.80000e-01,-1.40e-01,-2.00e-02,
-3.79900e-01,-1.40e-01,0.00e+00,
-3.79800e-01,-1.28e-01,-1.00e-01,
-3.79700e-01,-1.40e-01,-2.00e-02,
-3.79600e-01,-1.28e-01,-1.20e-01,
-3.79500e-01,-1.44e-01,-7.99e-02,
-3.79400e-01,-1.16e-01,-1.20e-01,
-3.79300e-01,-1.32e-01,-1.20e-01,
-3.79200e-01,-1.24e-01,-1.20e-01,
-3.79100e-01,-1.20e-01,-1.60e-01,
-3.79000e-01,-1.24e-01,-7.99e-02,
-3.78900e-01,-1.16e-01,-2.40e-01,
-3.78800e-01,-1.24e-01,-2.00e-02,
-3.78700e-01,-1.24e-01,-2.80e-01,
-3.78600e-01,-1.24e-01,0.00e+00,
-3.78500e-01,-1.24e-01,-2.60e-01,
-3.78400e-01,-1.24e-01,-2.00e-02,
-3.78300e-01,-1.24e-01,-1.80e-01,
-3.78200e-01,-1.20e-01,-7.99e-02,
-3.78100e-01,-1.24e-01,-6.00e-02,
-3.78000e-01,-1.16e-01,-1.40e-01,
-3.77900e-01,-1.16e-01,6.00e-02,
-3.77800e-01,-1.12e-01,-2.00e-01,
-3.77700e-01,-1.12e-01,1.40e-01,
-3.77600e-01,-1.08e-01,-2.00e-01,
-3.77500e-01,-1.00e-01,1.20e-01,
-3.77400e-01,-1.12e-01,-2.00e-01,
-3.77300e-01,-8.40e-02,6.00e-02,
-3.77200e-01,-1.08e-01,-1.40e-01,
-3.77100e-01,-8.40e-02,-6.00e-02,
-3.77000e-01,-9.20e-02,-7.99e-02,
-3.76900e-01,-9.20e-02,-1.40e-01,
-3.76800e-01,-9.20e-02,-2.00e-02,
-3.76700e-01,-9.20e-02,-1.80e-01,
-3.76600e-01,-8.40e-02,2.00e-02,
-3.76500e-01,-9.20e-02,-1.60e-01,
-3.76400e-01,-7.99e-02,2.00e-02,
-3.76300e-01,-9.20e-02,-1.20e-01,
-3.76200e-01,-7.59e-02,2.00e-02,
-3.76100e-01,-7.99e-02,-1.20e-01,
-3.76000e-01,-7.59e-02,0.00e+00,
-3.75900e-01,-7.59e-02,-1.20e-01,
-3.75800e-01,-7.59e-02,-2.00e-02,
-3.75700e-01,-6.80e-02,-7.99e-02,
-3.75600e-01,-7.20e-02,-6.00e-02,
-3.75500e-01,-6.80e-02,-1.00e-01,
-3.75400e-01,-6.80e-02,-1.00e-01,
-3.75300e-01,-6.00e-02,-7.99e-02,
-3.75200e-01,-5.60e-02,-1.20e-01,
-3.75100e-01,-6.00e-02,-2.00e-02,
-3.75000e-01,-5.60e-02,-1.40e-01,
-3.74900e-01,-6.00e-02,-6.00e-02,
-3.74800e-01,-6.00e-02,-1.80e-01,
-3.74700e-01,-6.00e-02,-6.00e-02,
-3.74600e-01,-6.00e-02,-1.60e-01,
-3.74500e-01,-4.80e-02,-2.00e-02,
-3.74400e-01,-6.40e-02,-1.20e-01,
-3.74300e-01,-4.40e-02,-6.00e-02,
-3.74200e-01,-6.00e-02,-1.00e-01,
-3.74100e-01,-4.40e-02,-1.20e-01,
-3.74000e-01,-5.60e-02,-6.00e-02,
-3.73900e-01,-4.00e-02,-1.00e-01,
-3.73800e-01,-4.80e-02,-2.00e-02,
-3.73700e-01,-4.00e-02,-1.20e-01,
-3.73600e-01,-4.40e-02,-2.00e-02,
-3.73500e-01,-4.00e-02,-7.99e-02,
-3.73400e-01,-4.00e-02,-2.00e-02,
-3.73300e-01,-3.20e-02,-7.99e-02,
-3.73200e-01,-2.80e-02,-6.00e-02,
-3.73100e-01,-3.20e-02,-7.99e-02,
-3.73000e-01,-2.40e-02,-7.99e-02,
-3.72900e-01,-2.80e-02,-1.00e-01,
-3.72800e-01,-1.60e-02,-1.00e-01,
-3.72700e-01,-2.40e-02,-7.99e-02,
-3.72600e-01,-1.20e-02,-7.99e-02,
-3.72500e-01,-2.40e-02,-2.00e-02,
