magnitude,stimLevel,numStims,betaLabels,sid,channel,subjectNum,phaseClass,setToDeliverPhase
234.516890665328,2.5,Base,0,d5cd55,144,1,90,180
206.297841473879,2.5,Base,0,d5cd55,144,1,90,180
283.643487442386,2.5,Base,0,d5cd55,144,1,90,180
80.7731530709604,2.5,Base,0,d5cd55,144,1,90,180
143.949915424305,2.5,Base,0,d5cd55,144,1,90,180
442.024399942945,2.5,Base,0,d5cd55,144,1,90,180
385.595395712054,2.5,Base,0,d5cd55,144,1,90,180
185.451839070295,2.5,Base,0,d5cd55,144,1,90,180
267.319391191979,2.5,Base,0,d5cd55,144,1,90,180
178.303030634969,2.5,Test 1,0,d5cd55,144,1,90,180
196.398818171644,2.5,Test 1,0,d5cd55,144,1,90,180
131.045462556738,2.5,Test 1,0,d5cd55,144,1,90,180
46.7502943411547,2.5,Test 1,0,d5cd55,144,1,90,180
106.772435330843,2.5,Test 1,0,d5cd55,144,1,90,180
134.178111288082,2.5,Test 1,0,d5cd55,144,1,90,180
502.627644522225,2.5,Test 1,0,d5cd55,144,1,90,180
614.468668204712,2.5,Test 1,0,d5cd55,144,1,90,180
114.631896793945,2.5,Test 1,0,d5cd55,144,1,90,180
279.418736709426,2.5,Test 1,0,d5cd55,144,1,90,180
342.469130439298,2.5,Test 1,0,d5cd55,144,1,90,180
183.050301139417,2.5,Test 1,0,d5cd55,144,1,90,180
142.865240612819,2.5,Test 1,0,d5cd55,144,1,90,180
174.777800937173,2.5,Test 1,0,d5cd55,144,1,90,180
262.06406190694,2.5,Test 1,0,d5cd55,144,1,90,180
107.567474748801,2.5,Test 1,0,d5cd55,144,1,90,180
204.78587854735,2.5,Test 1,0,d5cd55,144,1,90,180
229.529755196909,2.5,Test 1,0,d5cd55,144,1,90,180
104.610728813026,2.5,Test 1,0,d5cd55,144,1,90,180
288.604436792399,2.5,Test 1,0,d5cd55,144,1,90,180
310.118762280618,2.5,Test 1,0,d5cd55,144,1,90,180
375.136213598013,2.5,Test 1,0,d5cd55,144,1,90,180
246.017335576646,2.5,Test 1,0,d5cd55,144,1,90,180
226.788920460221,2.5,Test 1,0,d5cd55,144,1,90,180
194.336307055141,2.5,Test 1,0,d5cd55,144,1,90,180
221.317292193206,2.5,Test 1,0,d5cd55,144,1,90,180
176.473467974547,2.5,Test 1,0,d5cd55,144,1,90,180
176.78662777771,2.5,Test 1,0,d5cd55,144,1,90,180
157.431472703354,2.5,Test 1,0,d5cd55,144,1,90,180
80.1593149083818,2.5,Test 1,0,d5cd55,144,1,90,180
287.626590690548,2.5,Test 1,0,d5cd55,144,1,90,180
253.969876852334,2.5,Test 1,0,d5cd55,144,1,90,180
234.285524433493,2.5,Test 1,0,d5cd55,144,1,90,180
269.531907880295,2.5,Test 1,0,d5cd55,144,1,90,180
138.18632087454,2.5,Test 1,0,d5cd55,144,1,90,180
249.860336494628,2.5,Test 1,0,d5cd55,144,1,90,180
78.4067505189398,2.5,Test 1,0,d5cd55,144,1,90,180
231.753014798878,2.5,Test 1,0,d5cd55,144,1,90,180
251.81514549919,2.5,Test 1,0,d5cd55,144,1,90,180
347.241819718936,2.5,Test 1,0,d5cd55,144,1,90,180
157.49028347781,2.5,Test 1,0,d5cd55,144,1,90,180
176.002446691448,2.5,Test 1,0,d5cd55,144,1,90,180
142.548204504049,2.5,Test 1,0,d5cd55,144,1,90,180
352.21042987313,2.5,Test 1,0,d5cd55,144,1,90,180
263.940074902324,2.5,Test 1,0,d5cd55,144,1,90,180
223.670090491227,2.5,Test 1,0,d5cd55,144,1,90,180
321.880269272391,2.5,Test 1,0,d5cd55,144,1,90,180
148.282001567313,2.5,Test 1,0,d5cd55,144,1,90,180
242.348116041251,2.5,Test 1,0,d5cd55,144,1,90,180
136.851911292409,2.5,Test 1,0,d5cd55,144,1,90,180
208.148419490121,2.5,Test 1,0,d5cd55,144,1,90,180
281.094092198792,2.5,Test 1,0,d5cd55,144,1,90,180
230.420816636421,2.5,Test 1,0,d5cd55,144,1,90,180
122.219475585307,2.5,Test 1,0,d5cd55,144,1,90,180
174.38732143743,2.5,Test 1,0,d5cd55,144,1,90,180
285.532931061666,2.5,Test 1,0,d5cd55,144,1,90,180
123.733837203403,2.5,Test 1,0,d5cd55,144,1,90,180
293.026631255202,2.5,Test 1,0,d5cd55,144,1,90,180
530.696777334874,2.5,Test 1,0,d5cd55,144,1,90,180
401.37037191547,2.5,Test 1,0,d5cd55,144,1,90,180
70.1451622988738,2.5,Test 1,0,d5cd55,144,1,90,180
181.140843371318,2.5,Test 1,0,d5cd55,144,1,90,180
145.476227115952,2.5,Test 1,0,d5cd55,144,1,90,180
94.0084100670712,2.5,Test 1,0,d5cd55,144,1,90,180
233.74876887586,2.5,Test 1,0,d5cd55,144,1,90,180
161.269000060834,2.5,Test 1,0,d5cd55,144,1,90,180
297.050846331012,2.5,Test 1,0,d5cd55,144,1,90,180
331.375926898436,2.5,Test 1,0,d5cd55,144,1,90,180
174.749453918536,2.5,Test 1,0,d5cd55,144,1,90,180
178.24332371083,2.5,Test 1,0,d5cd55,144,1,90,180
