magnitude,stimLevel,numStims,betaLabels,sid,channel,subjectNum,phaseClass,setToDeliverPhase
247.645291007932,2.5,Test 1,0,d5cd55,144,1,90,180
229.448960948157,2.5,Test 1,0,d5cd55,144,1,90,180
282.950526501547,2.5,Test 1,0,d5cd55,144,1,90,180
309.241128218734,2.5,Test 1,0,d5cd55,144,1,90,180
132.101099619826,2.5,Test 1,0,d5cd55,144,1,90,180
113.913582787915,2.5,Test 1,0,d5cd55,144,1,90,180
151.65082134789,2.5,Test 1,0,d5cd55,144,1,90,180
218.681163380442,2.5,Test 1,0,d5cd55,144,1,90,180
166.110896314665,2.5,Test 1,0,d5cd55,144,1,90,180
185.587448659163,2.5,Test 1,0,d5cd55,144,1,90,180
333.289564864183,2.5,Test 1,0,d5cd55,144,1,90,180
234.350570953571,2.5,Test 1,0,d5cd55,144,1,90,180
311.57509130073,2.5,Test 1,0,d5cd55,144,1,90,180
264.335147721597,2.5,Test 1,0,d5cd55,144,1,90,180
176.900018900806,2.5,Test 1,0,d5cd55,144,1,90,180
187.849338055669,2.5,Test 1,0,d5cd55,144,1,90,180
361.766695186613,2.5,Test 1,0,d5cd55,144,1,90,180
188.601767756746,2.5,Test 1,0,d5cd55,144,1,90,180
267.23773480939,2.5,Test 1,0,d5cd55,144,1,90,180
182.466920274352,2.5,Test 1,0,d5cd55,144,1,90,180
192.999521326027,2.5,Test 1,0,d5cd55,144,1,90,180
220.847422061245,2.5,Test 1,0,d5cd55,144,1,90,180
175.276200425953,2.5,Test 1,0,d5cd55,144,1,90,180
169.516222031861,2.5,Test 1,0,d5cd55,144,1,90,180
161.137115835404,2.5,Test 1,0,d5cd55,144,1,90,180
195.131941259116,2.5,Test 1,0,d5cd55,144,1,90,180
116.29844251089,2.5,Test 1,0,d5cd55,144,1,90,180
239.947887801426,2.5,Test 1,0,d5cd55,144,1,90,180
155.511645406404,2.5,Test 1,0,d5cd55,144,1,90,180
211.716611332596,2.5,Test 1,0,d5cd55,144,1,90,180
200.733854611949,2.5,Test 1,0,d5cd55,144,1,90,180
145.317083952285,2.5,Test 1,0,d5cd55,144,1,90,180
225.636411527062,2.5,Test 1,0,d5cd55,144,1,90,180
160.552491602834,2.5,Test 1,0,d5cd55,144,1,90,180
149.36705934549,2.5,Test 1,0,d5cd55,144,1,90,180
143.548291244471,2.5,Test 1,0,d5cd55,144,1,90,180
156.279551026522,2.5,Test 1,0,d5cd55,144,1,90,180
176.027406764702,2.5,Test 1,0,d5cd55,144,1,90,180
126.14911315902,2.5,Test 1,0,d5cd55,144,1,90,180
280.3745419567,2.5,Test 1,0,d5cd55,144,1,90,180
